订单号,订单日期,品类,商品名称,数量,单价,销售额,成本,利润,地区,渠道,客户类型
SO-20250101-0001,2025-01-01 05:00:00,美妆个护,氨基酸洗面奶,2,89,178,128.89,49.11,东北,小程序,新客
SO-20250102-0002,2025-01-02 10:00:00,家居日用,水洗棉四件套,2,329,658,441.0,217.0,东北,直播带货,新客
SO-20250102-0003,2025-01-02 14:00:00,家居日用,落地灯,4,199,796,546.81,249.19,西南,线下门店,会员
SO-20250103-0004,2025-01-03 09:00:00,电子产品,便携充电宝,1,129,129,85.55,43.45,东北,线上商城,老客
SO-20250103-0005,2025-01-03 21:00:00,电子产品,智能手表,4,1299,5196,4205.48,990.52,华中,线下门店,会员
SO-20250104-0006,2025-01-04 14:00:00,食品饮料,坚果礼盒,1,158,158,122.15,35.85,东北,小程序,新客
SO-20250104-0007,2025-01-04 16:00:00,家居日用,落地灯,4,199,796,634.54,161.46,西南,直播带货,新客
SO-20250105-0008,2025-01-05 09:00:00,美妆个护,氨基酸洗面奶,1,89,89,69.5,19.5,华东,直播带货,老客
SO-20250106-0009,2025-01-06 18:00:00,家居日用,水洗棉四件套,4,329,1316,893.36,422.64,华北,直播带货,老客
SO-20250106-0010,2025-01-06 22:00:00,电子产品,智能手表,2,1299,2598,2105.12,492.88,华东,线下门店,老客
SO-20250107-0011,2025-01-07 01:00:00,服装鞋帽,纯棉T恤,5,79,395,323.16,71.84,西南,小程序,老客
SO-20250108-0012,2025-01-08 09:00:00,美妆个护,口红,1,219,219,135.21,83.79,东北,线上商城,会员
SO-20250109-0013,2025-01-09 00:00:00,食品饮料,有机牛奶,3,59,177,102.37,74.63,华北,线下门店,会员
SO-20250109-0014,2025-01-09 14:00:00,服装鞋帽,纯棉T恤,2,79,158,92.66,65.34,东北,小程序,老客
SO-20250109-0015,2025-01-09 22:00:00,美妆个护,淡香水,5,499,2495,1520.56,974.44,东北,小程序,新客
SO-20250110-0016,2025-01-10 01:00:00,美妆个护,淡香水,3,499,1497,1047.76,449.24,华东,小程序,会员
SO-20250110-0017,2025-01-10 03:00:00,食品饮料,坚果礼盒,1,158,158,121.2,36.8,华中,线上商城,会员
SO-20250110-0018,2025-01-10 13:00:00,服装鞋帽,牛仔裤,3,259,777,463.81,313.19,华东,线下门店,新客
SO-20250111-0019,2025-01-11 19:00:00,服装鞋帽,轻薄羽绒服,3,899,2697,1775.61,921.39,华中,线下门店,老客
SO-20250112-0020,2025-01-12 00:00:00,服装鞋帽,牛仔裤,3,259,777,586.79,190.21,华中,线上商城,新客
SO-20250112-0021,2025-01-12 16:00:00,服装鞋帽,运动鞋,3,399,1197,856.91,340.09,华南,直播带货,新客
SO-20250112-0022,2025-01-12 19:00:00,家居日用,落地灯,2,199,398,314.36,83.64,东北,小程序,新客
SO-20250113-0023,2025-01-13 19:00:00,家居日用,水洗棉四件套,2,329,658,492.46,165.54,华南,小程序,会员
SO-20250113-0024,2025-01-13 20:00:00,美妆个护,氨基酸洗面奶,1,89,89,52.74,36.26,东北,线上商城,新客
SO-20250114-0025,2025-01-14 05:00:00,电子产品,机械键盘,5,499,2495,1891.02,603.98,华东,直播带货,老客
SO-20250114-0026,2025-01-14 13:00:00,服装鞋帽,牛仔裤,5,259,1295,903.09,391.91,华中,线下门店,老客
SO-20250114-0027,2025-01-14 15:00:00,美妆个护,保湿精华,2,359,718,502.46,215.54,西南,直播带货,新客
SO-20250115-0028,2025-01-15 02:00:00,美妆个护,氨基酸洗面奶,1,89,89,67.62,21.38,华北,线上商城,新客
SO-20250115-0029,2025-01-15 16:00:00,美妆个护,淡香水,3,499,1497,1005.09,491.91,华南,线下门店,会员
SO-20250116-0030,2025-01-16 01:00:00,服装鞋帽,运动鞋,3,399,1197,690.65,506.35,华北,小程序,新客
SO-20250116-0031,2025-01-16 16:00:00,服装鞋帽,轻薄羽绒服,1,899,899,513.7,385.3,华东,小程序,新客
SO-20250116-0032,2025-01-16 16:00:00,食品饮料,精品咖啡豆,4,108,432,321.74,110.26,西南,线下门店,老客
SO-20250116-0033,2025-01-16 20:00:00,家居日用,香薰蜡烛,3,69,207,123.99,83.01,东北,线上商城,新客
SO-20250117-0034,2025-01-17 09:00:00,家居日用,收纳箱,5,45,225,176.55,48.45,华东,线上商城,老客
SO-20250117-0035,2025-01-17 13:00:00,服装鞋帽,轻薄羽绒服,4,899,3596,2049.37,1546.63,华中,小程序,会员
SO-20250117-0036,2025-01-17 21:00:00,美妆个护,保湿精华,3,359,1077,808.92,268.08,华中,线上商城,会员
SO-20250118-0037,2025-01-18 20:00:00,服装鞋帽,牛仔裤,1,259,259,195.18,63.82,西南,直播带货,老客
SO-20250118-0038,2025-01-18 22:00:00,电子产品,无线蓝牙耳机,3,299,897,530.55,366.45,东北,线上商城,新客
SO-20250119-0039,2025-01-19 01:00:00,美妆个护,口红,1,219,219,174.46,44.54,东北,线下门店,会员
SO-20250119-0040,2025-01-19 03:00:00,服装鞋帽,牛仔裤,3,259,777,545.46,231.54,华北,线下门店,老客
SO-20250119-0041,2025-01-19 07:00:00,美妆个护,保湿精华,2,359,718,509.29,208.71,华东,小程序,老客
SO-20250119-0042,2025-01-19 10:00:00,电子产品,智能手表,4,1299,5196,3691.93,1504.07,华东,直播带货,老客
SO-20250119-0043,2025-01-19 22:00:00,家居日用,香薰蜡烛,5,69,345,191.44,153.56,西南,线上商城,新客
